date,Name,uint32__upTime
2024-01-26 14:08:42.957596,OBC_0,32.0
2024-01-26 14:08:48.445223,OBC_0,62.0
2024-01-26 14:08:48.786883,OBC_0,62.0
2024-01-26 14:08:49.126588,OBC_0,62.0
2024-01-26 14:08:50.445784,OBC_0,92.0
2024-01-26 14:08:50.758905,OBC_0,92.0
2024-01-26 14:08:51.081378,OBC_0,92.0
2024-01-26 14:11:40.142087,OBC_0,32.0
2024-01-26 14:11:40.482501,OBC_0,32.0
2024-01-26 14:11:40.823184,OBC_0,32.0
2024-01-26 14:11:41.137280,OBC_0,32.0
2024-01-26 14:11:53.912303,OBC_0,92.0
2024-01-26 14:11:54.213764,OBC_0,92.0
2024-01-26 14:11:54.520884,OBC_0,92.0
2024-01-26 14:11:54.828054,OBC_0,92.0
2024-01-26 14:12:01.581122,OBC_0,122.0
2024-01-26 14:12:01.895836,OBC_0,122.0
2024-01-26 14:12:02.206037,OBC_0,122.0
2024-01-26 14:12:02.526520,OBC_0,122.0
2024-01-26 14:12:09.274864,OBC_0,62.0
2024-01-26 14:12:09.580376,OBC_0,62.0
2024-01-26 14:12:09.932474,OBC_0,62.0
2024-01-26 14:12:10.272579,OBC_0,62.0
2024-01-26 14:12:20.436119,OBC_0,92.0
2024-01-26 14:12:20.765315,OBC_0,92.0
2024-01-26 14:12:21.095925,OBC_0,92.0
2024-01-26 14:12:21.437365,OBC_0,92.0
2024-01-26 14:12:37.306718,OBC_0,62.0
2024-01-26 14:12:37.625846,OBC_0,62.0
2024-01-26 14:12:37.941883,OBC_0,62.0
2024-01-26 14:12:38.263318,OBC_0,62.0
2024-01-26 14:12:48.816837,OBC_0,122.0
2024-01-26 14:12:49.148250,OBC_0,122.0
2024-01-26 14:12:49.476199,OBC_0,122.0
2024-01-26 14:12:49.779098,OBC_0,122.0
2024-01-26 14:12:51.433775,OBC_0,152.0
2024-01-26 14:12:51.756553,OBC_0,152.0
2024-01-26 14:12:52.083721,OBC_0,152.0
2024-01-26 14:12:52.406724,OBC_0,152.0
2024-01-28 14:12:58.315374,OBC_0,62.0
2024-01-28 14:12:59.584883,OBC_0,32.0
2024-01-28 14:13:02.433390,OBC_0,92.0
2024-01-28 14:13:04.065187,OBC_0,122.0
2024-01-29 14:13:08.191873,OBC_0,32.0
2024-01-29 14:13:09.839049,OBC_0,62.0
2024-01-29 14:13:12.324854,OBC_0,32.0
2024-01-29 14:13:13.918906,OBC_0,62.0
2024-01-29 14:13:14.238102,OBC_0,32.0
2024-01-29 14:13:15.515424,OBC_0,62.0
2024-01-29 14:13:17.710270,OBC_0,92.0
2024-01-29 14:13:18.631233,OBC_0,32.0
2024-01-29 14:13:19.579297,OBC_0,62.0
2024-02-09 16:29:36.340633,OBC_0,32.0
2024-02-09 16:29:37.522982,OBC_0,32.0
2024-02-09 16:29:38.642343,OBC_0,32.0
2024-02-09 16:29:39.770357,OBC_0,32.0
2024-02-09 16:30:21.077078,OBC_0,32.0
2024-02-09 16:30:21.342933,OBC_0,32.0
2024-02-10 16:30:23.807059,OBC_0,32.0
2024-02-10 16:30:24.915617,OBC_0,32.0
2024-02-10 16:30:25.993278,OBC_0,32.0
2024-02-10 16:30:27.080325,OBC_0,32.0
2024-02-10 16:31:08.408568,OBC_0,32.0
2024-02-10 16:31:08.661592,OBC_0,32.0
2024-02-10 16:32:08.503587,OBC_0,62.0
2024-02-10 16:32:08.776321,OBC_0,62.0
2024-02-10 16:32:09.065927,OBC_0,62.0
2024-02-10 16:32:12.932499,OBC_0,62.0
2024-02-10 16:32:13.229301,OBC_0,62.0
2024-02-10 16:32:13.543162,OBC_0,62.0
2024-02-10 16:32:15.466827,OBC_0,32.0
2024-02-10 16:32:15.741063,OBC_0,32.0
2024-02-10 16:32:16.022814,OBC_0,32.0
2024-02-10 16:32:22.929713,OBC_0,62.0
2024-02-10 16:32:23.194794,OBC_0,62.0
2024-02-10 16:32:23.468198,OBC_0,62.0
2024-02-12 16:32:32.476209,OBC_0,32.0
2024-02-12 16:32:33.603637,OBC_0,32.0
2024-02-12 16:32:34.722320,OBC_0,32.0
2024-02-12 16:33:17.269166,OBC_0,32.0
